Date,Time,Players
1/3/2022,12:00 AM,105
1/3/2022,4:00 AM,42
1/3/2022,6:00 AM,24
1/3/2022,10:00 AM,53
1/3/2022,12:00 PM,61
1/3/2022,4:00 PM,97
1/3/2022,6:00 PM,110
1/3/2022,10:00 PM,111
1/4/2022,12:00 AM,106
1/4/2022,4:00 AM,40
1/4/2022,6:00 AM,37
1/4/2022,10:00 AM,74
1/4/2022,12:00 PM,108
1/4/2022,4:00 PM,115
1/4/2022,6:00 PM,107
1/4/2022,10:00 PM,125
1/5/2022,12:00 AM,134
1/5/2022,4:00 AM,50
1/5/2022,6:00 AM,25
1/5/2022,10:00 AM,74
1/5/2022,12:00 PM,91
1/5/2022,4:00 PM,107
1/5/2022,6:00 PM,102
1/5/2022,10:00 PM,117
1/6/2022,12:00 AM,124
1/6/2022,4:00 AM,41
1/6/2022,6:00 AM,19
1/6/2022,10:00 AM,92
1/6/2022,12:00 PM,90
1/6/2022,4:00 PM,135
1/6/2022,6:00 PM,140
1/6/2022,10:00 PM,143
1/7/2022,12:00 AM,119
1/7/2022,4:00 AM,52
1/7/2022,6:00 AM,31
1/7/2022,10:00 AM,90
1/7/2022,12:00 PM,109
1/7/2022,4:00 PM,138
1/7/2022,6:00 PM,151
1/7/2022,10:00 PM,131
1/8/2022,12:00 AM,141
1/8/2022,4:00 AM,25
1/8/2022,6:00 AM,21
1/8/2022,10:00 AM,88
1/8/2022,12:00 PM,122
1/8/2022,4:00 PM,116
1/8/2022,6:00 PM,134
1/8/2022,10:00 PM,129
1/9/2022,12:00 AM,124
1/9/2022,4:00 AM,53
1/9/2022,6:00 AM,29
1/9/2022,10:00 AM,89
1/9/2022,12:00 PM,92
1/9/2022,4:00 PM,137
1/9/2022,6:00 PM,120
1/9/2022,10:00 PM,142
1/10/2022,12:00 AM,134
1/10/2022,4:00 AM,55
1/10/2022,6:00 AM,30
1/10/2022,10:00 AM,77
1/10/2022,12:00 PM,87
1/10/2022,4:00 PM,119
1/10/2022,6:00 PM,126
1/10/2022,10:00 PM,154
1/11/2022,12:00 AM,133
1/11/2022,4:00 AM,53
1/11/2022,6:00 AM,39
1/11/2022,10:00 AM,82
1/11/2022,12:00 PM,106
1/11/2022,4:00 PM,125
1/11/2022,6:00 PM,145
1/11/2022,10:00 PM,143
1/12/2022,12:00 AM,158
1/12/2022,4:00 AM,51
1/12/2022,6:00 AM,37
1/12/2022,10:00 AM,73
1/12/2022,12:00 PM,93
1/12/2022,4:00 PM,153
1/12/2022,6:00 PM,147
1/12/2022,10:00 PM,153
1/13/2022,12:00 AM,135
1/13/2022,10:00 AM,100
1/13/2022,4:00 AM,55
1/13/2022,6:00 AM,25
1/13/2022,10:00 AM,100
1/13/2022,12:00 PM,94
1/13/2022,4:00 PM,120
1/13/2022,6:00 PM,109
1/13/2022,10:00 PM,139
1/14/2022,12:00 AM,150
1/14/2022,4:00 AM,43
1/14/2022,6:00 AM,45
1/14/2022,10:00 AM,84
1/14/2022,12:00 PM,111
1/14/2022,4:00 PM,111
1/14/2022,6:00 PM,158
1/14/2022,10:00 PM,146
1/15/2022,12:00 AM,163
1/15/2022,4:00 AM,58
1/15/2022,6:00 AM,32
1/15/2022,10:00 AM,95
1/15/2022,12:00 PM,103
1/15/2022,4:00 PM,135
1/15/2022,6:00 PM,133
1/15/2022,10:00 PM,153
1/16/2022,12:00 AM,150
1/16/2022,4:00 AM, 55
1/16/2022,6:00 am, 40
1/16/2022,10:00 am, 111
1/16/2022,12:00 pm, 140
1/16/2022,4:00 pm, 151
1/16/2022,6:00 pm, 172
1/16/2022,10:00 pm, 201
1/17/2022,"12:00 am",157
1/17/2022,"6:00 am","40 "
1/17/2022,"10:00 am","79 "
1/17/2022,"12:00 pm",120
1/17/2022,"4:00 pm",138
1/17/2022,"6:00 pm",139
1/17/2022,"10:00 pm",169
1/18/2022,"12:00 am",165
1/18/2022,4:00 am,53
1/18/2022,"6:00 am","43 "
1/18/2022,"10:00 am","93 "
1/18/2022,"12:00 pm",137
1/18/2022,"4:00 pm",148
1/18/2022,"6:00 pm",142
1/18/2022,"10:00 pm",173
1/19/2022,"12:00 am",189
1/19/2022,4:00 am,54
1/19/2022,"6:00 am","40 "
1/19/2022,"10:00 am",101
1/19/2022,12:00 pm, 163
1/19/2022,"4:00 pm",134
1/19/2022,"6:00 pm",121
1/19/2022,"10:00 pm",156
1/20/2022,"12:00 am",144
1/20/2022,4:00 am,50
1/20/2022,"6:00 am","44 "
1/20/2022,"10:00 am","94 "
1/20/2022,"12:00 pm",103
1/20/2022,4:00 pm,130
1/20/2022,6:00 pm,155
1/20/2022,10:00 pm,170
1/21/2022,"12:00 am",130
1/21/2022,4:00 am,35
1/21/2022,"6:00 am","36 "
1/21/2022,"10:00 am","87 "
1/21/2022,"4:00 pm",162
1/21/2022,"6:00 pm",130
1/21/2022,"10:00 pm",151
1/22/2022,"12:00 am",191
1/22/2022,"4:00 am","70 "
1/22/2022,"6:00 am","43 "
1/22/2022,"10:00 am","69 "
1/22/2022,"4:00 pm","84 "
1/23/2022,"12:00 am",107
1/23/2022,4:00 am,55
1/23/2022,"6:00 am","42 "
1/23/2022,"10:00 am","82 "
1/23/2022,12:00 pm,127
1/23/2022,"4:00 pm",154
1/23/2022,6:00 pm,175
1/23/2022,10:00 pm,200
1/24/2022,"12:00 am",157
1/24/2022,4:00 am,60
1/24/2022,6:00 am, 34
1/24/2022,"10:00 am","96 "
1/24/2022,12:00 pm,125
1/24/2022,4:00 pm,135
1/24/2022,"6:00 pm",142
1/24/2022,"10:00 pm",153
1/25/2022,"12:00 am",132
1/25/2022,"4:00 am","79 "
1/25/2022,"6:00 am","50 "
1/25/2022,"10:00 am",100
1/25/2022,"12:00 pm",122
1/25/2022,"4:00 pm",159
1/25/2022,"6:00 pm",140
1/25/2022,"10:00 pm",139
1/26/2022,"12:00 am",149
1/26/2022,12:00 pm,102
1/26/2022,"4:00 pm",134
1/26/2022,"10:00 pm",119
1/27/2022,12:00 am,113
1/27/2022,4:00 am,53
1/27/2022,"10:00 am","98 "
1/27/2022,12:00 pm,144
1/27/2022,"4:00 pm",144
1/27/2022,"6:00 pm",143
1/27/2022,10:00 pm,156
